page,reference,text
1,PDF page 1,"Dated: 10.08.2016
"
2,PDF page 2,"9-Aug-16
GUMRI
BALTAL
SL-49 SL-50
SL-51 SL-53
SL-54 SL-55
SL-56
SL-52
SL-57 SL-58
SL-59
SL-60
SL-61 SL-62
SL-63 SL-64
SL-65
SL-68
SL-67  
SL-66
SL-69
SL-70
SL-72
SL-71  SL-73
SL-74
SL-75
MINAMARG
SL-76
Registered 
Avalanche Sites 
Between Baltal 
and
 Minamarg
Courtsey SASE"
3,PDF page 3,Zoji la tunnel Alignment
4,PDF page 4,"TUNNEL
 CHA
RA
CTERISTICS
 A 14.083 long tunnel(Mined Tunnel Length) proposed on NH 1 to  
facilitate all weather connectivity between Srinagar and Leh.
At Baltal (Km 100)
At Minamarg (Km 117)
 Western (Srinagar side) Portal:
 Eastern Portal:
 Single tube two way tunnel with parallel egress tunnel.
 Three ventilation shafts. Two ventilation shafts will be used as  
construction shafts.
 Six working facesproposed.
 Estimated time for construction: 84 Months
 Total Project Cost: 9090 Crore
 Concession Period 22 Years
 Only eastern portal face available for working round the year.  Work not 
possible at rest of the faces for four months during the  winter period."
5,PDF page 5,"Zozi
la
 T unnel:
G
eology"
6,PDF page 6,"FEATURES
Design speed: 80 Kmph
Gradient west to east :2.9% (1 in 35)
Total no. of curves: 9
Parallel Escape Tunnel: 14.200 km length"
7,PDF page 7,"Approach road to Western Portal 
(Srinagar side)
 Portal elevation = 2900 m
 Cut and covered tunnel length= 37m
 Ventilation building = above C&C tunnel, 2 axial fan,    
electrical supply installation
 Service and control buildings (800sqm) 
 Approach road to Portal = 5025 m
 Minor Bridge = 60m
 Snow Galleries "
8,PDF page 8,"Approach road on Eastern Portal
(Leh Side)
 Portal elevation = 3310 m
 Cut and covered tunnel length=30m
 Service and control buildings (800sqm) 
 Approach road to Portal = 0.803 km"
9,PDF page 9,"Snow Galleries
 At Km 2.850 (approach road to western Portal  - 150m long   
snow gallery
 At Sl. 40, umbrella type new structure 
 Sl-41 & SL-42 – Retarding mounds of suitable geometry 
 SL-43
 A combination of mounds and catch dam
 A catch dam of 350 m length and three rounds of mounds 
 Height of mound = 7m
 Height of Catch dam = 8m
 SL-44 
Combination of Mounds and catch dam"
10,PDF page 10,"Construction/ Ventilation Shafts
Shaft no. 1 (Ventilation cum Construction Shaft)  
[Depth =484 m)[Dia. = 14m] 
Shaft no. 2     (Ventilation cum Construction Shaft)
[Depth = 365m)[Dia. = 14m]
Shaft no. 3     (Ventilation Shaft)
[Depth = 208m) [Dia. = 6m]"
11,PDF page 11,"Facilities & Safety Features
Pedestrian Cross Passages At every 250m (Length as per 
concessionaire design) 
Vehicular Cross Passages At every 750m (Length as per 
concessionaire design)
Lay-bys (Both highway side)(BHS) At every 750m
Width =  3m 
Length = 40m
Hydrant Cabinet and Emergency T elephone 
Cabinet 
Jet Fan Cabinets On BHS at an interval of 400 to 600 m 
with a length of 30m
Emergency T elephone & 
Communication System
Location: AT emergency exits with an 
interval of 125 m on one side of the tunnel
Electrical supply cabinet Each 700m"
12,PDF page 12,"T unnel Cross Sections 
(Main T unnel)
-
1
"
13,PDF page 13,"T unnel Cross Sections 
(Main T unnel)
-
2
"
14,PDF page 14,"Land Acquisition & Forest Diversion
(
Zozila
 Approach Road Requirement)
 Forest  Land =  208.88 HA
Area Required = 97.82%
Payment = 16.92 Cr paid on march 2014 to PCCF
 Revenue Land = 4.60 HA
Area Required = 2.18
Payment = 3.94 Cr 31st March 2014, DC Ganderbal
 Service Road: (Amarnath)
Length = 2.3 Km
Link road to Amarnath base = 0.40 Km
Area = 6.84 HA  dated 09.10.2014
(Final alignment is yet to be finalised)"
15,PDF page 15,"9-Aug-16
"
16,PDF page 16,
