source_id,source_sha256,page,table,row,column,value_original,reference,verification_status
S016,80befa4c56817e19c50b00d810eda6544393b5820345492cd86917517a6e83b9,,2,200,2,From construction or demolition,HTML table 2; row 200; column 2,review_required
S016,80befa4c56817e19c50b00d810eda6544393b5820345492cd86917517a6e83b9,,2,200,3,Yes,HTML table 2; row 200; column 3,review_required
S016,80befa4c56817e19c50b00d810eda6544393b5820345492cd86917517a6e83b9,,2,200,4,"Noise and vibration will be generated due to construction activity. Ambient air quality standards with respect to noise, 2000, MoEF&CC.",HTML table 2; row 200; column 4,review_required
S016,80befa4c56817e19c50b00d810eda6544393b5820345492cd86917517a6e83b9,,2,201,1,6.4,HTML table 2; row 201; column 1,review_required
S016,80befa4c56817e19c50b00d810eda6544393b5820345492cd86917517a6e83b9,,2,201,2,From blasting or piling,HTML table 2; row 201; column 2,review_required
S016,80befa4c56817e19c50b00d810eda6544393b5820345492cd86917517a6e83b9,,2,201,3,No,HTML table 2; row 201; column 3,review_required
S016,80befa4c56817e19c50b00d810eda6544393b5820345492cd86917517a6e83b9,,2,201,4,There shall be no piling or blasting activity.,HTML table 2; row 201; column 4,review_required
S016,80befa4c56817e19c50b00d810eda6544393b5820345492cd86917517a6e83b9,,2,202,1,6.5,HTML table 2; row 202; column 1,review_required
S016,80befa4c56817e19c50b00d810eda6544393b5820345492cd86917517a6e83b9,,2,202,2,From construction or operational traffic,HTML table 2; row 202; column 2,review_required
S016,80befa4c56817e19c50b00d810eda6544393b5820345492cd86917517a6e83b9,,2,202,3,Yes,HTML table 2; row 202; column 3,review_required
S016,80befa4c56817e19c50b00d810eda6544393b5820345492cd86917517a6e83b9,,2,202,4,"During construction, noise will be generated from trucks for transportation of material.",HTML table 2; row 202; column 4,review_required
S016,80befa4c56817e19c50b00d810eda6544393b5820345492cd86917517a6e83b9,,2,203,1,6.6,HTML table 2; row 203; column 1,review_required
S016,80befa4c56817e19c50b00d810eda6544393b5820345492cd86917517a6e83b9,,2,203,2,From lighting or cooling systems,HTML table 2; row 203; column 2,review_required
S016,80befa4c56817e19c50b00d810eda6544393b5820345492cd86917517a6e83b9,,2,203,3,No,HTML table 2; row 203; column 3,review_required
S016,80befa4c56817e19c50b00d810eda6544393b5820345492cd86917517a6e83b9,,2,203,4,Not applicable.,HTML table 2; row 203; column 4,review_required
S016,80befa4c56817e19c50b00d810eda6544393b5820345492cd86917517a6e83b9,,2,204,1,6.7,HTML table 2; row 204; column 1,review_required
S016,80befa4c56817e19c50b00d810eda6544393b5820345492cd86917517a6e83b9,,2,204,2,From any other sources,HTML table 2; row 204; column 2,review_required
S016,80befa4c56817e19c50b00d810eda6544393b5820345492cd86917517a6e83b9,,2,204,3,No,HTML table 2; row 204; column 3,review_required
S016,80befa4c56817e19c50b00d810eda6544393b5820345492cd86917517a6e83b9,,2,204,4,Not applicable,HTML table 2; row 204; column 4,review_required
S016,80befa4c56817e19c50b00d810eda6544393b5820345492cd86917517a6e83b9,,2,205,1,7,HTML table 2; row 205; column 1,review_required
S016,80befa4c56817e19c50b00d810eda6544393b5820345492cd86917517a6e83b9,,2,205,2,"Risks of contamination of land or water from releases of pollutants into the ground or into sewers, surface waters, groundwater, coastal waters or the sea:",HTML table 2; row 205; column 2,review_required
S016,80befa4c56817e19c50b00d810eda6544393b5820345492cd86917517a6e83b9,,2,206,1,"S.No Information/Checklist confirmation Yes/No Details thereof (with approximate quantities/rates, wherever possible) with source of information data 7.1 From handling, storage, use or spillage of hazardous materials Yes Short term accidental spills may happen during construction. To avoid contamination of soil and ground/surface water from fuel and lubricants, the vehicles and equipment shall be properly maintained and repaired. The hazardous waste (management, handling & transboundary movement) rules, 2008 and its amendments till date will be followed. 7.2 From discharge of sewage or other effluents to water or the land (expected mode and place of discharge) Yes There shall not be direct discharge of sewage in to water or on land. Septic tank, soak pit is prepared for canteen/kitchen waste in construction camp and toilet waste liquids are discharge to septic/soak pit. Other liquid waste treated at sites by using storage and sedimentation tank. The effluent of the sedimentation tank is discharge within permissible limits of respective parameters. The sewage system shall be properly designed and built so that no water pollution takes place to any water-bo 7.3 By deposition of pollutants emitted to air into the land or into water Yes There may be minimal deposition of pollutants. However following measures shall be adopted to minimize the contamination to land, water and air. â¢ Water spraying will be done during loading and unloading of raw materials and the earth work, all construction machinery shall be operated using controlled devices. All construction vehicles shall be operated with in permissible emission norms. â¢ The liquid effluent generates from labour /construction camps will be treated in septic /sedimentation t 7.4 From any other sources No - 7.5 Is there a risk of long term build up of pollutants in the environment from these sources? No -",HTML table 2; row 206; column 1,review_required
S016,80befa4c56817e19c50b00d810eda6544393b5820345492cd86917517a6e83b9,,2,207,1,S.No,HTML table 2; row 207; column 1,review_required
S016,80befa4c56817e19c50b00d810eda6544393b5820345492cd86917517a6e83b9,,2,207,2,Information/Checklist confirmation,HTML table 2; row 207; column 2,review_required
S016,80befa4c56817e19c50b00d810eda6544393b5820345492cd86917517a6e83b9,,2,207,3,Yes/No,HTML table 2; row 207; column 3,review_required
S016,80befa4c56817e19c50b00d810eda6544393b5820345492cd86917517a6e83b9,,2,207,4,"Details thereof (with approximate quantities/rates, wherever possible) with source of information data",HTML table 2; row 207; column 4,review_required
S016,80befa4c56817e19c50b00d810eda6544393b5820345492cd86917517a6e83b9,,2,208,1,7.1,HTML table 2; row 208; column 1,review_required
S016,80befa4c56817e19c50b00d810eda6544393b5820345492cd86917517a6e83b9,,2,208,2,"From handling, storage, use or spillage of hazardous materials",HTML table 2; row 208; column 2,review_required
S016,80befa4c56817e19c50b00d810eda6544393b5820345492cd86917517a6e83b9,,2,208,3,Yes,HTML table 2; row 208; column 3,review_required
S016,80befa4c56817e19c50b00d810eda6544393b5820345492cd86917517a6e83b9,,2,208,4,"Short term accidental spills may happen during construction. To avoid contamination of soil and ground/surface water from fuel and lubricants, the vehicles and equipment shall be properly maintained and repaired. The hazardous waste (management, handling & transboundary movement) rules, 2008 and its amendments till date will be followed.",HTML table 2; row 208; column 4,review_required
