source_id,canonical_source_id,project_id,related_project_id,candidate_project_id,assignment_status,source_name,source_url,direct_file_url,final_url,source_type,source_priority,source_format,authority,project_name_as_source,project_number,package_number,state,district,tehsil,village,scope,publication_date,publication_date_original,publication_date_basis,document_date,document_date_original,retrieved_at,local_file,sha256,sha256_verified,bytes,http_status,content_type,last_modified,etag,download_status,fields_extracted,source_page_or_row,api_endpoint,api_parameters,verification_status,identity_status,confidence,match_notes,pages_extracted,candidate_table_cells,normalization_status,error
S037,S037,,REAL_001,REAL_001,matched_source_context,district_daily_cumulative_rainfall,https://mausam.imd.gov.in/imd_latest/contents/rainfall_statistics_3.php,https://mausam.imd.gov.in/Rainfall/DISTRICT_RAINFALL_DISTRIBUTION_COUNTRY_INDIA_cd.pdf,https://mausam.imd.gov.in/Rainfall/DISTRICT_RAINFALL_DISTRIBUTION_COUNTRY_INDIA_cd.pdf,government_official,1,pdf,IMD,,,,,,,,district_climate,,,,,,2026-09-05T10:33:12+00:00,project_research/REAL_001_DELHI_MUMBAI_EXPRESSWAY/07_climate_landscape/REAL_001_IMD_district_daily_cumulative_rainfall_undated_819aabe522da.pdf,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,True,2998773,200,application/pdf,"Sat, 05 Sep 2026 08:56:16 GMT",,downloaded,"[""rainfall_category"", ""rainfall_mm"", ""rainfall_normal_mm""]","[""PDF page 11; text row 12; district MEERUT; daily rainfall_mm"", ""PDF page 11; text row 12; district MEERUT; daily rainfall_normal_mm"", ""PDF page 11; text row 12; district MEERUT; daily rainfall_category"", ""PDF page 11; text row 12; district MEERUT; cumulative rainfall_mm"", ""PDF page 11; text row 12; district MEERUT; cumulative rainfall_normal_mm"", ""PDF page 11; text row 12; district MEERUT; cumulative rainfall_category"", ""PDF page 12; text row 28; district PRAYAGRAJ; daily rainfall_mm"", ""PDF page 12; text row 28; district PRAYAGRAJ; daily rainfall_normal_mm"", ""PDF page 12; text row 28; district PRAYAGRAJ; daily rainfall_category"", ""PDF page 12; text row 28; district PRAYAGRAJ; cumulative rainfall_mm"", ""PDF page 12; text row 28; district PRAYAGRAJ; cumulative rainfall_normal_mm"", ""PDF page 12; text row 28; district PRAYAGRAJ; cumulative rainfall_category"", ""PDF page 13; text row 23; district RUDRAPRAYAG; daily rainfall_mm"", ""PDF page 13; text row 23; district RUDRAPRAYAG; daily rainfall_normal_mm"", ""PDF page 13; text row 23; district RUDRAPRAYAG; daily rainfall_category"", ""PDF page 13; text row 23; district RUDRAPRAYAG; cumulative rainfall_mm"", ""PDF page 13; text row 23; district RUDRAPRAYAG; cumulative rainfall_normal_mm"", ""PDF page 13; text row 23; district RUDRAPRAYAG; cumulative rainfall_category"", ""PDF page 14; text row 27; district NEW DELHI; daily rainfall_mm"", ""PDF page 14; text row 27; district NEW DELHI; daily rainfall_normal_mm"", ""PDF page 14; text row 27; district NEW DELHI; daily rainfall_category"", ""PDF page 14; text row 27; district NEW DELHI; cumulative rainfall_mm"", ""PDF page 14; text row 27; district NEW DELHI; cumulative rainfall_normal_mm"", ""PDF page 14; text row 27; district NEW DELHI; cumulative rainfall_category"", ""PDF page 16; text row 28; district GANDERBAL; daily rainfall_mm"", ""PDF page 16; text row 28; district GANDERBAL; daily rainfall_normal_mm"", ""PDF page 16; text row 28; district GANDERBAL; daily rainfall_category"", ""PDF page 16; text row 28; district GANDERBAL; cumulative rainfall_mm"", ""PDF page 16; text row 28; district GANDERBAL; cumulative rainfall_normal_mm"", ""PDF page 16; text row 28; district GANDERBAL; cumulative rainfall_category"", ""PDF page 18; text row 4; district DAUSA; daily rainfall_mm"", ""PDF page 18; text row 4; district DAUSA; daily rainfall_normal_mm"", ""PDF page 18; text row 4; district DAUSA; daily rainfall_category"", ""PDF page 18; text row 4; district DAUSA; cumulative rainfall_mm"", ""PDF page 18; text row 4; district DAUSA; cumulative rainfall_normal_mm"", ""PDF page 18; text row 4; district DAUSA; cumulative rainfall_category"", ""PDF page 23; text row 3; district MUMBAI CITY; daily rainfall_mm"", ""PDF page 23; text row 3; district MUMBAI CITY; daily rainfall_normal_mm"", ""PDF page 23; text row 3; district MUMBAI CITY; daily rainfall_category"", ""PDF page 23; text row 3; district MUMBAI CITY; cumulative rainfall_mm"", ""PDF page 23; text row 3; district MUMBAI CITY; cumulative rainfall_normal_mm"", ""PDF page 23; text row 3; district MUMBAI CITY; cumulative rainfall_category"", ""PDF page 23; text row 4; district MUMBAI SUBURBAN; daily rainfall_mm"", ""PDF page 23; text row 4; district MUMBAI SUBURBAN; daily rainfall_normal_mm"", ""PDF page 23; text row 4; district MUMBAI SUBURBAN; daily rainfall_category"", ""PDF page 23; text row 4; district MUMBAI SUBURBAN; cumulative rainfall_mm"", ""PDF page 23; text row 4; district MUMBAI SUBURBAN; cumulative rainfall_normal_mm"", ""PDF page 23; text row 4; district MUMBAI SUBURBAN; cumulative rainfall_category"", ""PDF page 24; text row 15; district NAGPUR; daily rainfall_mm"", ""PDF page 24; text row 15; district NAGPUR; daily rainfall_normal_mm"", ""PDF page 24; text row 15; district NAGPUR; daily rainfall_category"", ""PDF page 24; text row 15; district NAGPUR; cumulative rainfall_mm"", ""PDF page 24; text row 15; district NAGPUR; cumulative rainfall_normal_mm"", ""PDF page 24; text row 15; district NAGPUR; cumulative rainfall_category"", ""PDF page 28; text row 19; district CHENNAI; daily rainfall_mm"", ""PDF page 28; text row 19; district CHENNAI; daily rainfall_normal_mm"", ""PDF page 28; text row 19; district CHENNAI; daily rainfall_category"", ""PDF page 28; text row 19; district CHENNAI; cumulative rainfall_mm"", ""PDF page 28; text row 19; district CHENNAI; cumulative rainfall_normal_mm"", ""PDF page 28; text row 19; district CHENNAI; cumulative rainfall_category""]",,,official,matched_source_context,0.9,Direct file from official page. Preserve internal scope and dates. ,33,8557,normalized_observations_available,
S007,S007,REAL_006,,REAL_006,matched_source_context,phase_II_corridor_4_SIA,https://wcag.chennaimetrorail.org/wp-content/uploads/sites/3/2023/12/Approved-Social-Impact-Assessment-Resettlement-Plan-Corridor-4-1.pdf,https://wcag.chennaimetrorail.org/wp-content/uploads/sites/3/2023/12/Approved-Social-Impact-Assessment-Resettlement-Plan-Corridor-4-1.pdf,https://wcag.chennaimetrorail.org/wp-content/uploads/sites/3/2023/12/Approved-Social-Impact-Assessment-Resettlement-Plan-Corridor-4-1.pdf,government_official,1,pdf,CMRL,,,,,,,,corridor,,,,,,2026-09-05T10:22:28+00:00,project_research/REAL_006/04_rr_social_impact/REAL_006_CMRL_phase_II_corridor_4_SIA_undated_ee1b1887f257.pdf,ee1b1887f257bde081ef1a8fc3e8d65c066725615e529ebafec60791cdcaf64c,True,3427903,200,application/pdf,"Thu, 04 Apr 2024 08:59:43 GMT","""1fb6256f6e86da1:0""",downloaded,"[""RR_budget_inr"", ""affected_families"", ""compensation_budget_inr"", ""land_required_ha""]","[""PDF page 11"", ""PDF page 3"", ""PDF page 62""]",,,official,matched_source_context,0.9,Phase II corridor 4; verify internal headings rather than filename alone. ,111,1195,normalized_observations_available,
S008,S008,REAL_006,,REAL_006,matched_source_context,phase_II_corridor_5_SIA,https://chennaimetrorail.org/wp-content/uploads/2023/12/Approved-Social-Impact-Assessment-Resettlement-Plan-Corridor-5-1.pdf,https://chennaimetrorail.org/wp-content/uploads/2023/12/Approved-Social-Impact-Assessment-Resettlement-Plan-Corridor-5-1.pdf,https://chennaimetrorail.org/wp-content/uploads/2023/12/Approved-Social-Impact-Assessment-Resettlement-Plan-Corridor-5-1.pdf,government_official,1,pdf,CMRL,,,,,,,,corridor,,,,,,2026-09-05T10:22:29+00:00,project_research/REAL_006/04_rr_social_impact/REAL_006_CMRL_phase_II_corridor_5_SIA_undated_b8ba6efed3ca.pdf,b8ba6efed3cadb438fecc4cb05407289e6f947905eedc7c9313d39772627c733,True,7376959,200,application/pdf,"Tue, 02 Apr 2024 12:14:34 GMT","""64eb1253f784da1:0""",downloaded,"[""land_required_ha"", ""station_count""]","[""PDF page 4"", ""PDF page 14""]",,,official,matched_source_context,0.9,Potential filename/internal corridor mismatch; hold until reviewed. ,132,2707,normalized_observations_available,
S015,S015,,,REAL_006,review_required,phase_II_land_index,https://wcag.chennaimetrorail.org/phase-ii-land/,https://wcag.chennaimetrorail.org/phase-ii-land/,https://wcag.chennaimetrorail.org/phase-ii-land/,government_official,1,html,CMRL,,,,,,,,phase,,,,,,2026-09-05T10:22:32+00:00,project_research/REAL_006/04_rr_social_impact/REAL_006_CMRL_phase_II_land_index_undated_7c839bd1eb1d.html,7c839bd1eb1de02fa70f0f98067aca1f8667f40e7385f2ecf1f0dfd8727afdf1,True,116437,200,text/html; charset=UTF-8,,,downloaded,[],[],,,official,review_required,,Official download index. ,1,279,raw_and_candidate_evidence_only,
