source_id,source_sha256,page,table,row,column,value_original,reference,verification_status
S022,f36c99af9745318396bff78022b07f4bc59496ee076ae4798292a448f02b2993,,1,1,1,"Ministry of Road Transport & Highways Char Dham Highway Project Posted On: 06 FEB 2017 7:31PM by PIB Delhi The Government has decided to upgrade highway connectivity to two lane with paved shoulders to Chardham through old National Highways no. 58, 94, 108 & 109 from Rishikesh to Kedarnath, Badrinath, Gangotri & Yamunotri and Tanakpur -Pithoragarh section of National Highways no. 125 at an estimated cost of about Rs. 11700 Crore including the cost of land acquisition and pre-construction activities targeted for completion by 2020. This also has provision for landslide mitigation at Kaliasaur ,Sonprayag, Maithana, Govindghat, Birahi,etc alongwith paved shoulders and other road safety measures, which will provide all weather road connectivity for pilgrims and for movement of defence forces. This information was given by the Minister of State for Road Transport and Highways Shri Munsukh L. Mandaviya in written reply to a question in Rajya Sabha today. … UM/NP/MS (Release ID: 1481895)",HTML table 1; row 1; column 1,review_required
S022,f36c99af9745318396bff78022b07f4bc59496ee076ae4798292a448f02b2993,,1,2,1,,HTML table 1; row 2; column 1,review_required
