source_id,source_sha256,page,table,row,column,value_original,reference,verification_status
S013,40ee60d04680bdba2cff825d4e00f61a63a5bafe3b01de1dc89376fba5e18f67,33,1,1,1,1,PDF page 33; detected table 1; row 1; column 1,review_required
S013,40ee60d04680bdba2cff825d4e00f61a63a5bafe3b01de1dc89376fba5e18f67,33,1,1,2,ADM (Finance and Revenue),PDF page 33; detected table 1; row 1; column 2,review_required
S013,40ee60d04680bdba2cff825d4e00f61a63a5bafe3b01de1dc89376fba5e18f67,33,1,1,3,Chairman,PDF page 33; detected table 1; row 1; column 3,review_required
S013,40ee60d04680bdba2cff825d4e00f61a63a5bafe3b01de1dc89376fba5e18f67,33,1,2,1,2,PDF page 33; detected table 1; row 2; column 1,review_required
S013,40ee60d04680bdba2cff825d4e00f61a63a5bafe3b01de1dc89376fba5e18f67,33,1,2,2,Concerned ADM (LA)/SLAO/Dy. SLAO,PDF page 33; detected table 1; row 2; column 2,review_required
S013,40ee60d04680bdba2cff825d4e00f61a63a5bafe3b01de1dc89376fba5e18f67,33,1,2,3,Member,PDF page 33; detected table 1; row 2; column 3,review_required
S013,40ee60d04680bdba2cff825d4e00f61a63a5bafe3b01de1dc89376fba5e18f67,33,1,3,1,3,PDF page 33; detected table 1; row 3; column 1,review_required
S013,40ee60d04680bdba2cff825d4e00f61a63a5bafe3b01de1dc89376fba5e18f67,33,1,3,2,Concerned SDM (Project Administrator),PDF page 33; detected table 1; row 3; column 2,review_required
S013,40ee60d04680bdba2cff825d4e00f61a63a5bafe3b01de1dc89376fba5e18f67,33,1,3,3,Member,PDF page 33; detected table 1; row 3; column 3,review_required
S013,40ee60d04680bdba2cff825d4e00f61a63a5bafe3b01de1dc89376fba5e18f67,33,1,4,1,4,PDF page 33; detected table 1; row 4; column 1,review_required
S013,40ee60d04680bdba2cff825d4e00f61a63a5bafe3b01de1dc89376fba5e18f67,33,1,4,2,"Concerned Sub-Registrar/DIG (Stamps and
Registration)/AIG (Stamps and Registration)",PDF page 33; detected table 1; row 4; column 2,review_required
S013,40ee60d04680bdba2cff825d4e00f61a63a5bafe3b01de1dc89376fba5e18f67,33,1,4,3,Member,PDF page 33; detected table 1; row 4; column 3,review_required
S013,40ee60d04680bdba2cff825d4e00f61a63a5bafe3b01de1dc89376fba5e18f67,33,1,5,1,5,PDF page 33; detected table 1; row 5; column 1,review_required
S013,40ee60d04680bdba2cff825d4e00f61a63a5bafe3b01de1dc89376fba5e18f67,33,1,5,2,One official nominated by the purchasing entity,PDF page 33; detected table 1; row 5; column 2,review_required
S013,40ee60d04680bdba2cff825d4e00f61a63a5bafe3b01de1dc89376fba5e18f67,33,1,5,3,Member-Secretary,PDF page 33; detected table 1; row 5; column 3,review_required
S013,40ee60d04680bdba2cff825d4e00f61a63a5bafe3b01de1dc89376fba5e18f67,34,1,1,1,1,PDF page 34; detected table 1; row 1; column 1,review_required
S013,40ee60d04680bdba2cff825d4e00f61a63a5bafe3b01de1dc89376fba5e18f67,34,1,1,2,District Magistrate,PDF page 34; detected table 1; row 1; column 2,review_required
S013,40ee60d04680bdba2cff825d4e00f61a63a5bafe3b01de1dc89376fba5e18f67,34,1,1,3,Chairman,PDF page 34; detected table 1; row 1; column 3,review_required
S013,40ee60d04680bdba2cff825d4e00f61a63a5bafe3b01de1dc89376fba5e18f67,34,1,2,1,2,PDF page 34; detected table 1; row 2; column 1,review_required
S013,40ee60d04680bdba2cff825d4e00f61a63a5bafe3b01de1dc89376fba5e18f67,34,1,2,2,ADM (Finance and Revenue)/District Registrar,PDF page 34; detected table 1; row 2; column 2,review_required
S013,40ee60d04680bdba2cff825d4e00f61a63a5bafe3b01de1dc89376fba5e18f67,34,1,2,3,Member,PDF page 34; detected table 1; row 2; column 3,review_required
S013,40ee60d04680bdba2cff825d4e00f61a63a5bafe3b01de1dc89376fba5e18f67,34,1,3,1,3,PDF page 34; detected table 1; row 3; column 1,review_required
S013,40ee60d04680bdba2cff825d4e00f61a63a5bafe3b01de1dc89376fba5e18f67,34,1,3,2,Concerned ADM (LA)/SLAO/Dy. SLAO,PDF page 34; detected table 1; row 3; column 2,review_required
S013,40ee60d04680bdba2cff825d4e00f61a63a5bafe3b01de1dc89376fba5e18f67,34,1,3,3,Member,PDF page 34; detected table 1; row 3; column 3,review_required
S013,40ee60d04680bdba2cff825d4e00f61a63a5bafe3b01de1dc89376fba5e18f67,34,1,4,1,4,PDF page 34; detected table 1; row 4; column 1,review_required
S013,40ee60d04680bdba2cff825d4e00f61a63a5bafe3b01de1dc89376fba5e18f67,34,1,4,2,Concerned SDM (Project Administrator),PDF page 34; detected table 1; row 4; column 2,review_required
S013,40ee60d04680bdba2cff825d4e00f61a63a5bafe3b01de1dc89376fba5e18f67,34,1,4,3,Member,PDF page 34; detected table 1; row 4; column 3,review_required
S013,40ee60d04680bdba2cff825d4e00f61a63a5bafe3b01de1dc89376fba5e18f67,34,1,5,1,5,PDF page 34; detected table 1; row 5; column 1,review_required
S013,40ee60d04680bdba2cff825d4e00f61a63a5bafe3b01de1dc89376fba5e18f67,34,1,5,2,"Concerned Sub-Registrar/DIG (Stamps and
Registration)/AIG (Stamps and Registration)",PDF page 34; detected table 1; row 5; column 2,review_required
S013,40ee60d04680bdba2cff825d4e00f61a63a5bafe3b01de1dc89376fba5e18f67,34,1,5,3,Member,PDF page 34; detected table 1; row 5; column 3,review_required
S013,40ee60d04680bdba2cff825d4e00f61a63a5bafe3b01de1dc89376fba5e18f67,34,1,6,1,6,PDF page 34; detected table 1; row 6; column 1,review_required
S013,40ee60d04680bdba2cff825d4e00f61a63a5bafe3b01de1dc89376fba5e18f67,34,1,6,2,One official nominated by the purchasing entity,PDF page 34; detected table 1; row 6; column 2,review_required
S013,40ee60d04680bdba2cff825d4e00f61a63a5bafe3b01de1dc89376fba5e18f67,34,1,6,3,Member-Secretary,PDF page 34; detected table 1; row 6; column 3,review_required
S013,40ee60d04680bdba2cff825d4e00f61a63a5bafe3b01de1dc89376fba5e18f67,35,1,1,1,Value of land under direct purchase,PDF page 35; detected table 1; row 1; column 1,review_required
S013,40ee60d04680bdba2cff825d4e00f61a63a5bafe3b01de1dc89376fba5e18f67,35,1,1,3,"Competent authority for
approval",PDF page 35; detected table 1; row 1; column 3,review_required
S013,40ee60d04680bdba2cff825d4e00f61a63a5bafe3b01de1dc89376fba5e18f67,35,1,2,1,1,PDF page 35; detected table 1; row 2; column 1,review_required
S013,40ee60d04680bdba2cff825d4e00f61a63a5bafe3b01de1dc89376fba5e18f67,35,1,2,2,Up-to INR 50 Crore,PDF page 35; detected table 1; row 2; column 2,review_required
S013,40ee60d04680bdba2cff825d4e00f61a63a5bafe3b01de1dc89376fba5e18f67,35,1,2,3,"Concerned Divisional
Commissioner",PDF page 35; detected table 1; row 2; column 3,review_required
S013,40ee60d04680bdba2cff825d4e00f61a63a5bafe3b01de1dc89376fba5e18f67,35,1,3,1,2,PDF page 35; detected table 1; row 3; column 1,review_required
S013,40ee60d04680bdba2cff825d4e00f61a63a5bafe3b01de1dc89376fba5e18f67,35,1,3,2,"Above INR 50 Crore
(in case of government departments/ local bodies)",PDF page 35; detected table 1; row 3; column 2,review_required
S013,40ee60d04680bdba2cff825d4e00f61a63a5bafe3b01de1dc89376fba5e18f67,35,1,3,3,"Concerned administrative
department",PDF page 35; detected table 1; row 3; column 3,review_required
S013,40ee60d04680bdba2cff825d4e00f61a63a5bafe3b01de1dc89376fba5e18f67,35,1,4,1,3,PDF page 35; detected table 1; row 4; column 1,review_required
S013,40ee60d04680bdba2cff825d4e00f61a63a5bafe3b01de1dc89376fba5e18f67,35,1,4,2,"Above INR 50 Crore
(in cases of corporations/ development
authorities/industrial authorities/ Awas-Vikas
Parishad)",PDF page 35; detected table 1; row 4; column 2,review_required
S013,40ee60d04680bdba2cff825d4e00f61a63a5bafe3b01de1dc89376fba5e18f67,35,1,4,3,"Governing
Board/Management
Committee of the
concerned
corporation/authority",PDF page 35; detected table 1; row 4; column 3,review_required
