source_id,canonical_source_id,project_id,related_project_id,candidate_project_id,assignment_status,source_name,source_url,direct_file_url,final_url,source_type,source_priority,source_format,authority,project_name_as_source,project_number,package_number,state,district,tehsil,village,scope,publication_date,publication_date_original,publication_date_basis,document_date,document_date_original,retrieved_at,local_file,sha256,sha256_verified,bytes,http_status,content_type,last_modified,etag,download_status,fields_extracted,source_page_or_row,api_endpoint,api_parameters,verification_status,identity_status,confidence,match_notes,pages_extracted,candidate_table_cells,normalization_status,error
S037,S037,,REAL_001,REAL_001,matched_source_context,district_daily_cumulative_rainfall,https://mausam.imd.gov.in/imd_latest/contents/rainfall_statistics_3.php,https://mausam.imd.gov.in/Rainfall/DISTRICT_RAINFALL_DISTRIBUTION_COUNTRY_INDIA_cd.pdf,https://mausam.imd.gov.in/Rainfall/DISTRICT_RAINFALL_DISTRIBUTION_COUNTRY_INDIA_cd.pdf,government_official,1,pdf,IMD,,,,,,,,district_climate,,,,,,2026-09-05T10:33:12+00:00,project_research/REAL_001_DELHI_MUMBAI_EXPRESSWAY/07_climate_landscape/REAL_001_IMD_district_daily_cumulative_rainfall_undated_819aabe522da.pdf,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,True,2998773,200,application/pdf,"Sat, 05 Sep 2026 08:56:16 GMT",,downloaded,"[""rainfall_category"", ""rainfall_mm"", ""rainfall_normal_mm""]","[""PDF page 11; text row 12; district MEERUT; daily rainfall_mm"", ""PDF page 11; text row 12; district MEERUT; daily rainfall_normal_mm"", ""PDF page 11; text row 12; district MEERUT; daily rainfall_category"", ""PDF page 11; text row 12; district MEERUT; cumulative rainfall_mm"", ""PDF page 11; text row 12; district MEERUT; cumulative rainfall_normal_mm"", ""PDF page 11; text row 12; district MEERUT; cumulative rainfall_category"", ""PDF page 12; text row 28; district PRAYAGRAJ; daily rainfall_mm"", ""PDF page 12; text row 28; district PRAYAGRAJ; daily rainfall_normal_mm"", ""PDF page 12; text row 28; district PRAYAGRAJ; daily rainfall_category"", ""PDF page 12; text row 28; district PRAYAGRAJ; cumulative rainfall_mm"", ""PDF page 12; text row 28; district PRAYAGRAJ; cumulative rainfall_normal_mm"", ""PDF page 12; text row 28; district PRAYAGRAJ; cumulative rainfall_category"", ""PDF page 13; text row 23; district RUDRAPRAYAG; daily rainfall_mm"", ""PDF page 13; text row 23; district RUDRAPRAYAG; daily rainfall_normal_mm"", ""PDF page 13; text row 23; district RUDRAPRAYAG; daily rainfall_category"", ""PDF page 13; text row 23; district RUDRAPRAYAG; cumulative rainfall_mm"", ""PDF page 13; text row 23; district RUDRAPRAYAG; cumulative rainfall_normal_mm"", ""PDF page 13; text row 23; district RUDRAPRAYAG; cumulative rainfall_category"", ""PDF page 14; text row 27; district NEW DELHI; daily rainfall_mm"", ""PDF page 14; text row 27; district NEW DELHI; daily rainfall_normal_mm"", ""PDF page 14; text row 27; district NEW DELHI; daily rainfall_category"", ""PDF page 14; text row 27; district NEW DELHI; cumulative rainfall_mm"", ""PDF page 14; text row 27; district NEW DELHI; cumulative rainfall_normal_mm"", ""PDF page 14; text row 27; district NEW DELHI; cumulative rainfall_category"", ""PDF page 16; text row 28; district GANDERBAL; daily rainfall_mm"", ""PDF page 16; text row 28; district GANDERBAL; daily rainfall_normal_mm"", ""PDF page 16; text row 28; district GANDERBAL; daily rainfall_category"", ""PDF page 16; text row 28; district GANDERBAL; cumulative rainfall_mm"", ""PDF page 16; text row 28; district GANDERBAL; cumulative rainfall_normal_mm"", ""PDF page 16; text row 28; district GANDERBAL; cumulative rainfall_category"", ""PDF page 18; text row 4; district DAUSA; daily rainfall_mm"", ""PDF page 18; text row 4; district DAUSA; daily rainfall_normal_mm"", ""PDF page 18; text row 4; district DAUSA; daily rainfall_category"", ""PDF page 18; text row 4; district DAUSA; cumulative rainfall_mm"", ""PDF page 18; text row 4; district DAUSA; cumulative rainfall_normal_mm"", ""PDF page 18; text row 4; district DAUSA; cumulative rainfall_category"", ""PDF page 23; text row 3; district MUMBAI CITY; daily rainfall_mm"", ""PDF page 23; text row 3; district MUMBAI CITY; daily rainfall_normal_mm"", ""PDF page 23; text row 3; district MUMBAI CITY; daily rainfall_category"", ""PDF page 23; text row 3; district MUMBAI CITY; cumulative rainfall_mm"", ""PDF page 23; text row 3; district MUMBAI CITY; cumulative rainfall_normal_mm"", ""PDF page 23; text row 3; district MUMBAI CITY; cumulative rainfall_category"", ""PDF page 23; text row 4; district MUMBAI SUBURBAN; daily rainfall_mm"", ""PDF page 23; text row 4; district MUMBAI SUBURBAN; daily rainfall_normal_mm"", ""PDF page 23; text row 4; district MUMBAI SUBURBAN; daily rainfall_category"", ""PDF page 23; text row 4; district MUMBAI SUBURBAN; cumulative rainfall_mm"", ""PDF page 23; text row 4; district MUMBAI SUBURBAN; cumulative rainfall_normal_mm"", ""PDF page 23; text row 4; district MUMBAI SUBURBAN; cumulative rainfall_category"", ""PDF page 24; text row 15; district NAGPUR; daily rainfall_mm"", ""PDF page 24; text row 15; district NAGPUR; daily rainfall_normal_mm"", ""PDF page 24; text row 15; district NAGPUR; daily rainfall_category"", ""PDF page 24; text row 15; district NAGPUR; cumulative rainfall_mm"", ""PDF page 24; text row 15; district NAGPUR; cumulative rainfall_normal_mm"", ""PDF page 24; text row 15; district NAGPUR; cumulative rainfall_category"", ""PDF page 28; text row 19; district CHENNAI; daily rainfall_mm"", ""PDF page 28; text row 19; district CHENNAI; daily rainfall_normal_mm"", ""PDF page 28; text row 19; district CHENNAI; daily rainfall_category"", ""PDF page 28; text row 19; district CHENNAI; cumulative rainfall_mm"", ""PDF page 28; text row 19; district CHENNAI; cumulative rainfall_normal_mm"", ""PDF page 28; text row 19; district CHENNAI; cumulative rainfall_category""]",,,official,matched_source_context,0.9,Direct file from official page. Preserve internal scope and dates. ,33,8557,normalized_observations_available,
S010,S010,,,REAL_008,review_required,zojila_presentation_index,https://www.nhidcl.com/en/presentation-zojila-tunnel,https://www.nhidcl.com/en/presentation-zojila-tunnel,https://www.nhidcl.com/en/presentation-zojila-tunnel,government_official,1,html,NHIDCL,,,,,,,,project,,,,,,2026-09-05T10:25:40+00:00,project_research/REAL_008/01_authority/REAL_008_NHIDCL_zojila_presentation_index_undated_82e64f0fbdfa.html,82e64f0fbdfaa7cfadd49aef38177295ac5b55b9468e24b065d0132f96039889,True,40296,200,text/html; charset=UTF-8,"Fri, 04 Sep 2026 13:58:03 GMT","""1788530283""",downloaded,[],[],,,official,review_required,,Discover the actual presentation PDF. ,1,0,raw_and_candidate_evidence_only,
S017,S017,REAL_008,,REAL_008,matched_source_context,zojila_progress_release,https://ladakh.gov.in/ladakh-chief-secretary-reviews-zojila-tunnel-progress-12-km-completed-project-on-track-for-2028-finish/,https://ladakh.gov.in/ladakh-chief-secretary-reviews-zojila-tunnel-progress-12-km-completed-project-on-track-for-2028-finish/,https://ladakh.gov.in/ladakh-chief-secretary-reviews-zojila-tunnel-progress-12-km-completed-project-on-track-for-2028-finish/,government_official,1,html,Ladakh_Administration,,,,,,,,project,,,,,,2026-09-05T10:22:33+00:00,project_research/REAL_008/01_authority/REAL_008_Ladakh_Administration_zojila_progress_release_undated_c79daa65d898.html,c79daa65d898e01f18dd2947a5865973fe3a57636f7f59e5cbe7d03db8bab668,True,104161,200,text/html; charset=UTF-8,,,downloaded,"[""barrier_description"", ""completion_target"", ""constructed_tunnel_length_km""]","[""HTML body; exact anchor in saved extraction""]",,,official,matched_source_context,0.9,Zojila progress announcement; not acquisition status. ,1,0,normalized_observations_available,
S036,S036,REAL_008,,REAL_008,matched_source_context,zojila_presentation,https://www.nhidcl.com/en/presentation-zojila-tunnel,https://www.nhidcl.com/sites/default/files/2024-05/zozila-tunnel-presentation-final.pdf,https://www.nhidcl.com/sites/default/files/2024-05/zozila-tunnel-presentation-final.pdf,government_official,1,pdf,NHIDCL,,,,,,,,project,,,,,,2026-09-05T10:33:12+00:00,project_research/REAL_008/01_authority/REAL_008_NHIDCL_zojila_presentation_undated_a55344d01fa0.pdf,a55344d01fa0d93502d0603b433d60d4d0e9ecef2251185a6cd950a71d91fdc9,True,2003343,200,application/pdf,"Thu, 30 May 2024 12:36:42 GMT",,downloaded,"[""access_constraint""]","[""PDF page 4""]",,,official,matched_source_context,0.9,Direct file from official page. Preserve internal scope and dates. ,16,60,normalized_observations_available,
S040,S040,,REAL_008,REAL_008,matched_source_context,project_status_2023_04_30,https://www.nhidcl.com/sites/default/files/2024-04/project_status_as_on_30.04.2023.pdf,https://www.nhidcl.com/sites/default/files/2024-04/project_status_as_on_30.04.2023.pdf,https://www.nhidcl.com/sites/default/files/2024-04/project_status_as_on_30.04.2023.pdf,government_official,1,pdf,NHIDCL,,,,,,,,mixed_projects,,,,,,2026-09-05T10:40:29+00:00,project_research/REAL_008/01_authority/REAL_008_NHIDCL_project_status_2023_04_30_undated_d2a253737902.pdf,d2a2537379027753d43ba51274160cca7a228ba9ec1690f24f33e9affcfc8935,True,670384,200,application/pdf,"Fri, 26 Apr 2024 11:19:48 GMT",,downloaded,"[""contractor_name"", ""financial_progress"", ""physical_progress"", ""row_available_pct""]","[""PDF page 12""]",,,official,matched_source_context,0.9,Exact geographic/project scope must be retained. ,30,6479,normalized_observations_available,
S011,S011,,,REAL_008,review_required,zojila_approach_package_III_DPR,https://www.nhidcl.com/sites/default/files/tenders/tendors/uploads/815b2/PKG%20III_Main%20Report%20%20Pkg%20III.pdf,https://www.nhidcl.com/sites/default/files/tenders/tendors/uploads/815b2/PKG%20III_Main%20Report%20%20Pkg%20III.pdf,https://www.nhidcl.com/sites/default/files/tenders/tendors/uploads/815b2/PKG%20III_Main%20Report%20%20Pkg%20III.pdf,government_official,1,pdf,NHIDCL,,,,,,,,related_package,,,,,,2026-09-05T10:25:40+00:00,project_research/REAL_008/07_climate_landscape/REAL_008_NHIDCL_zojila_approach_package_III_DPR_undated_16148e8d4be1.pdf,16148e8d4be1711696ec1f396877fa30afa86f92c2813bb54e90c16b705b8d58,True,8313470,200,application/pdf,"Wed, 23 Jul 2025 11:06:57 GMT",,downloaded,[],[],,,official,review_required,,Approach/avalanche protection package; do not treat as main tunnel land acquisition. ,170,721,raw_and_candidate_evidence_only,
